STATION,STATION_NAME,DATE,PRCP,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160322,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160323,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160324,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160325,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160326,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160327,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160328,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160329,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160330,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160331,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160401,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160402,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160403,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160404,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160405,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160406,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160407,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160408,0.6,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160409,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160410,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160411,0.31,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160412,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160413,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160414,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160415,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160416,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160417,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160418,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160419,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160420,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160421,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160422,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160423,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160424,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160425,0,
